# Frozen run order for the 0011 tier-5 campaign: model <TAB> task <TAB> arm.
# Deterministic: rows sorted by FNV-1a 64 of the row text, ties lexicographic.
# Regenerate with `xenith-bench t5-shuffle`; `verify` fails on any drift.
grok	t5-03	t5-guide-on
cursor	t5-03	t5-none-on
cursor	t5-01	t5-api-on
agy	t5-02	t5-api-off
agy	t5-04	t5-none-off
opencode-nemotron	t5-04	t5-api-on
codex	t5-03	t5-api-off
grok	t5-01	t5-guide-off
opencode	t5-05	t5-api-off
codex	t5-06	t5-guide-on
codex	t5-02	t5-api-on
grok	t5-04	t5-none-on
grok	t5-05	t5-none-on
opencode	t5-05	t5-guide-off
opencode-deepseek	t5-03	t5-guide-on
opencode-nemotron	t5-03	t5-guide-off
opencode	t5-06	t5-none-off
cursor	t5-05	t5-none-on
grok	t5-06	t5-guide-off
opencode-deepseek	t5-02	t5-api-on
opencode	t5-01	t5-api-off
agy	t5-05	t5-none-on
agy	t5-01	t5-none-on
opencode-deepseek	t5-06	t5-api-on
codex	t5-02	t5-none-off
opencode-deepseek	t5-05	t5-guide-on
codex	t5-06	t5-api-on
agy	t5-06	t5-guide-on
codex	t5-02	t5-guide-on
opencode	t5-04	t5-api-on
grok	t5-02	t5-none-on
agy	t5-02	t5-none-off
opencode	t5-02	t5-none-off
grok	t5-06	t5-api-off
agy	t5-04	t5-none-on
opencode-deepseek	t5-03	t5-none-on
cursor	t5-05	t5-api-off
grok	t5-05	t5-api-on
cursor	t5-02	t5-guide-off
opencode-deepseek	t5-04	t5-api-off
opencode-nemotron	t5-02	t5-guide-on
opencode	t5-03	t5-guide-off
opencode	t5-05	t5-none-on
opencode	t5-05	t5-guide-on
opencode-nemotron	t5-03	t5-none-off
codex	t5-05	t5-api-on
opencode-deepseek	t5-04	t5-guide-on
opencode	t5-02	t5-api-on
codex	t5-03	t5-none-off
grok	t5-04	t5-api-on
opencode-nemotron	t5-06	t5-api-off
agy	t5-06	t5-guide-off
grok	t5-02	t5-guide-off
agy	t5-03	t5-api-on
opencode	t5-04	t5-guide-off
opencode-deepseek	t5-02	t5-api-off
cursor	t5-03	t5-api-on
opencode-nemotron	t5-01	t5-guide-on
opencode-nemotron	t5-01	t5-none-off
opencode-nemotron	t5-05	t5-guide-off
codex	t5-04	t5-guide-on
cursor	t5-01	t5-none-off
cursor	t5-01	t5-guide-off
opencode	t5-02	t5-none-on
grok	t5-01	t5-api-off
opencode-nemotron	t5-05	t5-guide-on
agy	t5-05	t5-none-off
codex	t5-04	t5-guide-off
opencode-nemotron	t5-06	t5-guide-on
cursor	t5-03	t5-guide-on
codex	t5-01	t5-guide-off
grok	t5-03	t5-api-on
cursor	t5-03	t5-none-off
opencode-nemotron	t5-02	t5-api-off
agy	t5-01	t5-none-off
grok	t5-04	t5-none-off
cursor	t5-05	t5-none-off
codex	t5-01	t5-api-on
opencode	t5-06	t5-none-on
grok	t5-02	t5-api-on
opencode-nemotron	t5-03	t5-api-on
opencode-nemotron	t5-06	t5-none-on
opencode-deepseek	t5-05	t5-none-on
cursor	t5-04	t5-guide-on
agy	t5-04	t5-guide-on
opencode-deepseek	t5-01	t5-api-off
opencode-deepseek	t5-05	t5-guide-off
opencode-nemotron	t5-03	t5-api-off
opencode-deepseek	t5-04	t5-none-off
opencode	t5-01	t5-none-off
agy	t5-03	t5-guide-off
codex	t5-01	t5-guide-on
agy	t5-05	t5-guide-on
opencode-nemotron	t5-01	t5-api-off
grok	t5-01	t5-none-on
grok	t5-06	t5-none-on
opencode-nemotron	t5-06	t5-guide-off
opencode-deepseek	t5-02	t5-none-off
opencode-nemotron	t5-05	t5-none-on
agy	t5-02	t5-api-on
opencode-deepseek	t5-03	t5-guide-off
opencode	t5-04	t5-api-off
opencode-nemotron	t5-04	t5-api-off
agy	t5-06	t5-api-on
agy	t5-02	t5-none-on
opencode	t5-03	t5-guide-on
codex	t5-04	t5-api-off
opencode-deepseek	t5-01	t5-api-on
codex	t5-01	t5-none-on
grok	t5-03	t5-guide-off
agy	t5-02	t5-guide-on
cursor	t5-02	t5-api-off
opencode-nemotron	t5-01	t5-none-on
codex	t5-06	t5-api-off
agy	t5-03	t5-api-off
opencode-deepseek	t5-04	t5-guide-off
cursor	t5-05	t5-api-on
cursor	t5-06	t5-none-on
grok	t5-01	t5-api-on
opencode	t5-02	t5-api-off
cursor	t5-01	t5-none-on
agy	t5-04	t5-guide-off
opencode	t5-03	t5-api-off
agy	t5-01	t5-api-on
opencode-nemotron	t5-01	t5-api-on
agy	t5-04	t5-api-off
opencode	t5-06	t5-api-on
grok	t5-02	t5-none-off
grok	t5-04	t5-guide-off
grok	t5-05	t5-guide-on
agy	t5-05	t5-guide-off
opencode-deepseek	t5-06	t5-none-on
opencode	t5-05	t5-api-on
opencode-nemotron	t5-04	t5-guide-off
opencode-deepseek	t5-02	t5-guide-on
codex	t5-03	t5-guide-on
agy	t5-03	t5-none-on
cursor	t5-04	t5-guide-off
codex	t5-02	t5-guide-off
opencode	t5-01	t5-guide-off
agy	t5-06	t5-none-on
opencode	t5-04	t5-none-off
opencode	t5-04	t5-guide-on
opencode-deepseek	t5-02	t5-guide-off
agy	t5-06	t5-api-off
opencode	t5-03	t5-none-off
agy	t5-03	t5-guide-on
grok	t5-03	t5-none-off
codex	t5-04	t5-none-on
grok	t5-03	t5-none-on
grok	t5-05	t5-guide-off
agy	t5-03	t5-none-off
grok	t5-04	t5-api-off
codex	t5-03	t5-guide-off
opencode-deepseek	t5-06	t5-api-off
opencode	t5-01	t5-api-on
opencode-nemotron	t5-05	t5-api-off
opencode	t5-06	t5-guide-on
codex	t5-04	t5-none-off
codex	t5-03	t5-api-on
cursor	t5-04	t5-api-on
opencode	t5-03	t5-none-on
opencode	t5-04	t5-none-on
opencode-deepseek	t5-01	t5-none-off
grok	t5-01	t5-guide-on
opencode-deepseek	t5-05	t5-api-off
opencode	t5-06	t5-guide-off
opencode-nemotron	t5-05	t5-none-off
agy	t5-06	t5-none-off
codex	t5-01	t5-none-off
codex	t5-05	t5-guide-on
codex	t5-02	t5-none-on
opencode-nemotron	t5-04	t5-guide-on
opencode-deepseek	t5-01	t5-none-on
cursor	t5-06	t5-api-on
agy	t5-05	t5-api-on
agy	t5-04	t5-api-on
grok	t5-05	t5-api-off
codex	t5-01	t5-api-off
opencode-nemotron	t5-03	t5-guide-on
agy	t5-01	t5-guide-on
opencode	t5-01	t5-guide-on
opencode	t5-02	t5-guide-off
opencode-nemotron	t5-02	t5-none-on
cursor	t5-04	t5-api-off
cursor	t5-06	t5-guide-off
codex	t5-06	t5-guide-off
codex	t5-06	t5-none-off
opencode-deepseek	t5-03	t5-api-on
grok	t5-06	t5-api-on
codex	t5-03	t5-none-on
opencode-nemotron	t5-02	t5-guide-off
cursor	t5-06	t5-guide-on
opencode-nemotron	t5-04	t5-none-off
grok	t5-05	t5-none-off
grok	t5-03	t5-api-off
opencode-deepseek	t5-05	t5-none-off
cursor	t5-01	t5-guide-on
opencode	t5-02	t5-guide-on
grok	t5-02	t5-guide-on
opencode-nemotron	t5-01	t5-guide-off
cursor	t5-05	t5-guide-off
codex	t5-05	t5-api-off
opencode	t5-05	t5-none-off
opencode-deepseek	t5-05	t5-api-on
grok	t5-06	t5-none-off
cursor	t5-02	t5-none-off
grok	t5-06	t5-guide-on
cursor	t5-05	t5-guide-on
cursor	t5-06	t5-none-off
opencode-nemotron	t5-02	t5-none-off
agy	t5-01	t5-guide-off
opencode-deepseek	t5-06	t5-none-off
opencode	t5-03	t5-api-on
opencode-nemotron	t5-06	t5-none-off
cursor	t5-02	t5-none-on
opencode-deepseek	t5-02	t5-none-on
grok	t5-01	t5-none-off
opencode-deepseek	t5-01	t5-guide-off
codex	t5-04	t5-api-on
opencode-deepseek	t5-03	t5-none-off
opencode-deepseek	t5-04	t5-api-on
opencode	t5-01	t5-none-on
codex	t5-05	t5-none-off
cursor	t5-04	t5-none-on
grok	t5-04	t5-guide-on
codex	t5-06	t5-none-on
agy	t5-02	t5-guide-off
cursor	t5-01	t5-api-off
opencode-deepseek	t5-04	t5-none-on
opencode	t5-06	t5-api-off
opencode-nemotron	t5-04	t5-none-on
cursor	t5-04	t5-none-off
cursor	t5-02	t5-guide-on
cursor	t5-02	t5-api-on
agy	t5-05	t5-api-off
codex	t5-05	t5-guide-off
opencode-deepseek	t5-06	t5-guide-off
opencode-nemotron	t5-02	t5-api-on
agy	t5-01	t5-api-off
opencode-deepseek	t5-01	t5-guide-on
cursor	t5-03	t5-api-off
codex	t5-02	t5-api-off
opencode-nemotron	t5-03	t5-none-on
grok	t5-02	t5-api-off
opencode-deepseek	t5-03	t5-api-off
cursor	t5-06	t5-api-off
opencode-deepseek	t5-06	t5-guide-on
opencode-nemotron	t5-05	t5-api-on
cursor	t5-03	t5-guide-off
opencode-nemotron	t5-06	t5-api-on
codex	t5-05	t5-none-on
